Student Name,Class 1,Professor 1,Class Time 1,Class 2,Professor 2,Class Time 2,Class 3,Professor 3,Class Time 3,Class 4,Professor 4,Class Time 4,Class 5,Professor 5,Class Time 5
Benjamin Martin,PSYCH 116,Dr. John Smith,"MW, 12:10-1:25",SOC 265,Dr. Bill Stevens,"TT, 1:45-3:00",HIST 175,Dr. Bill Stevens,"TT, 3:30-4:45",ECON 146,Dr. Laura Adams,"F, 3:10-4:00",SOC 263,Dr. Laura Adams,"MW, 2:00-3:15"
Sophia King,HIST 195,Dr. Emily Carter,"F, 3:10-4:00",MATH 221,Dr. Linda Clark,"MW, 9:00-10:15",ENG 240,Dr. Paul Wilson,"MW, 1:10-2:25",PSYCH 119,Dr. Mark Johnson,"MW, 12:10-1:25",ECON 257,Dr. Sarah Martin,"F, 3:10-4:00"
Mia Lewis,CSE 278,Dr. Bill Stevens,"MW, 12:10-1:25",PSYCH 188,Dr. Thomas Green,"MW, 12:10-1:25",MATH 231,Dr. Bill Stevens,"TT, 9:00-10:15",BIO 105,Dr. Bill Stevens,"F, 3:10-4:00",ECON 165,Dr. Laura Adams,"F, 9:00-9:50"
Sophia Harris,ECON 291,Dr. John Smith,"TT, 10:45-12:00",BIO 295,Dr. Laura Adams,"MW, 9:00-10:15",PSYCH 135,Dr. Mark Johnson,"TT, 9:00-10:15",SOC 126,Dr. Thomas Green,"MW, 1:10-2:25",CSE 125,Dr. Thomas Green,"MW, 1:10-2:25"
Benjamin Wilson,PSYCH 194,Dr. Sarah Martin,"F, 9:00-9:50",ENG 148,Dr. Bill Stevens,"MW, 9:00-10:15",SOC 254,Dr. Ann Roberts,"TT, 1:45-3:00",ECON 282,Dr. Paul Wilson,"TT, 9:00-10:15",MATH 256,Dr. Linda Clark,"TT, 3:30-4:45"
Daniel Lewis,MATH 152,Dr. Mark Johnson,"TT, 9:00-10:15",PHIL 256,Dr. Linda Clark,"MW, 1:10-2:25",ENG 116,Dr. Mark Johnson,"MW, 12:10-1:25",ENG 176,Dr. John Smith,"F, 9:00-9:50",CSE 170,Dr. Paul Wilson,"TT, 1:45-3:00"
Lucas Johnson,BIO 143,Dr. Bill Stevens,"TT, 10:45-12:00",MATH 193,Dr. Sarah Martin,"MW, 2:00-3:15",BIO 142,Dr. Thomas Green,"TT, 1:45-3:00",PSYCH 163,Dr. John Smith,"TT, 9:00-10:15",PSYCH 156,Dr. Thomas Green,"F, 3:10-4:00"
Evelyn Johnson,HIST 102,Dr. Sarah Martin,"F, 9:00-9:50",CSE 287,Dr. Emily Carter,"TT, 9:00-10:15",SOC 198,Dr. Linda Clark,"MW, 12:10-1:25",HIST 226,Dr. Laura Adams,"TT, 1:45-3:00",PSYCH 215,Dr. Sarah Martin,"TT, 1:45-3:00"
Mason Adams,HIST 226,Dr. Thomas Green,"TT, 10:45-12:00",MATH 191,Dr. Thomas Green,"TT, 3:30-4:45",ECON 232,Dr. Sarah Martin,"TT, 10:45-12:00",SOC 196,Dr. Thomas Green,"MW, 1:10-2:25",ECON 138,Dr. Linda Clark,"TT, 3:30-4:45"
Abigail Brown,ECON 178,Dr. Mark Johnson,"F, 3:10-4:00",HIST 174,Dr. Paul Wilson,"TT, 9:00-10:15",ECON 238,Dr. Laura Adams,"MW, 9:00-10:15",HIST 211,Dr. Thomas Green,"TT, 1:45-3:00",ENG 172,Dr. Sarah Martin,"MW, 12:10-1:25"
James Harris,ENG 284,Dr. John Smith,"MW, 12:10-1:25",PHIL 174,Dr. Emily Carter,"TT, 9:00-10:15",HIST 209,Dr. John Smith,"MW, 2:00-3:15",BIO 287,Dr. Thomas Green,"F, 3:10-4:00",CSE 288,Dr. Emily Carter,"TT, 3:30-4:45"
Ava White,PHIL 191,Dr. Sarah Martin,"TT, 3:30-4:45",ECON 268,Dr. Paul Wilson,"MW, 2:00-3:15",MATH 250,Dr. Bill Stevens,"MW, 2:00-3:15",SOC 195,Dr. Paul Wilson,"MW, 2:00-3:15",PSYCH 225,Dr. Paul Wilson,"TT, 3:30-4:45"
Alex White,SOC 258,Dr. Laura Adams,"TT, 1:45-3:00",CSE 279,Dr. Laura Adams,"F, 9:00-9:50",PSYCH 143,Dr. Mark Johnson,"TT, 9:00-10:15",SOC 133,Dr. Emily Carter,"TT, 9:00-10:15",PSYCH 248,Dr. Linda Clark,"TT, 10:45-12:00"
Jacob Adams,ECON 138,Dr. Ann Roberts,"TT, 9:00-10:15",BIO 191,Dr. Ann Roberts,"MW, 9:00-10:15",ENG 208,Dr. Emily Carter,"F, 3:10-4:00",MATH 281,Dr. Thomas Green,"TT, 9:00-10:15",HIST 238,Dr. Bill Stevens,"F, 3:10-4:00"
Jacob White,PHIL 222,Dr. Emily Carter,"F, 3:10-4:00",SOC 208,Dr. John Smith,"TT, 3:30-4:45",PHIL 163,Dr. Thomas Green,"MW, 12:10-1:25",ENG 132,Dr. Sarah Martin,"MW, 1:10-2:25",PSYCH 116,Dr. Emily Carter,"MW, 2:00-3:15"
Michael Walker,MATH 218,Dr. Laura Adams,"TT, 3:30-4:45",PSYCH 191,Dr. Ann Roberts,"TT, 1:45-3:00",HIST 223,Dr. Laura Adams,"F, 9:00-9:50",BIO 256,Dr. Bill Stevens,"MW, 2:00-3:15",ENG 210,Dr. Bill Stevens,"MW, 9:00-10:15"
Michael Davis,MATH 279,Dr. Sarah Martin,"MW, 12:10-1:25",CSE 203,Dr. Sarah Martin,"F, 3:10-4:00",ECON 294,Dr. Emily Carter,"F, 9:00-9:50",SOC 227,Dr. Linda Clark,"MW, 12:10-1:25",MATH 143,Dr. Mark Johnson,"TT, 10:45-12:00"
Harper Garcia,CSE 138,Dr. Bill Stevens,"F, 9:00-9:50",HIST 196,Dr. Mark Johnson,"TT, 1:45-3:00",BIO 271,Dr. Emily Carter,"TT, 10:45-12:00",BIO 205,Dr. Sarah Martin,"TT, 10:45-12:00",CSE 173,Dr. Paul Wilson,"TT, 1:45-3:00"
Lucas Allen,HIST 215,Dr. Sarah Martin,"MW, 1:10-2:25",MATH 234,Dr. Emily Carter,"TT, 10:45-12:00",MATH 143,Dr. Emily Carter,"TT, 10:45-12:00",SOC 259,Dr. Mark Johnson,"MW, 1:10-2:25",CSE 102,Dr. John Smith,"F, 9:00-9:50"
Emily Clark,SOC 246,Dr. Thomas Green,"MW, 2:00-3:15",HIST 204,Dr. Paul Wilson,"TT, 1:45-3:00",BIO 114,Dr. Thomas Green,"MW, 12:10-1:25",SOC 299,Dr. Sarah Martin,"TT, 10:45-12:00",ECON 183,Dr. Linda Clark,"F, 9:00-9:50"
Alex Scott,ENG 151,Dr. Linda Clark,"TT, 10:45-12:00",ENG 174,Dr. John Smith,"F, 9:00-9:50",SOC 217,Dr. Mark Johnson,"TT, 10:45-12:00",HIST 106,Dr. Mark Johnson,"TT, 1:45-3:00",ECON 266,Dr. Mark Johnson,"MW, 9:00-10:15"
Emily Smith,SOC 191,Dr. John Smith,"TT, 1:45-3:00",HIST 285,Dr. Mark Johnson,"TT, 3:30-4:45",HIST 224,Dr. Thomas Green,"TT, 9:00-10:15",PSYCH 148,Dr. John Smith,"MW, 1:10-2:25",PHIL 152,Dr. Mark Johnson,"MW, 1:10-2:25"
Matthew Lee,HIST 242,Dr. Laura Adams,"MW, 1:10-2:25",BIO 135,Dr. Mark Johnson,"MW, 1:10-2:25",ECON 161,Dr. Linda Clark,"TT, 1:45-3:00",ENG 162,Dr. Linda Clark,"F, 9:00-9:50",ENG 142,Dr. Linda Clark,"MW, 12:10-1:25"
Emily Garcia,CSE 239,Dr. Emily Carter,"MW, 12:10-1:25",PSYCH 253,Dr. Emily Carter,"MW, 1:10-2:25",PSYCH 294,Dr. Sarah Martin,"TT, 1:45-3:00",ECON 103,Dr. Linda Clark,"TT, 9:00-10:15",PSYCH 263,Dr. Thomas Green,"F, 9:00-9:50"
Henry Lewis,PSYCH 183,Dr. Ann Roberts,"F, 9:00-9:50",BIO 120,Dr. Emily Carter,"F, 9:00-9:50",SOC 117,Dr. Paul Wilson,"TT, 9:00-10:15",HIST 151,Dr. Linda Clark,"MW, 2:00-3:15",BIO 294,Dr. Ann Roberts,"TT, 9:00-10:15"
Olivia Lewis,ENG 154,Dr. Mark Johnson,"F, 9:00-9:50",PHIL 206,Dr. Emily Carter,"MW, 2:00-3:15",ENG 277,Dr. Emily Carter,"TT, 1:45-3:00",BIO 266,Dr. Ann Roberts,"MW, 1:10-2:25",BIO 255,Dr. Emily Carter,"TT, 10:45-12:00"
Ava Wilson,ECON 192,Dr. Sarah Martin,"MW, 12:10-1:25",ENG 299,Dr. Ann Roberts,"F, 3:10-4:00",MATH 245,Dr. John Smith,"TT, 9:00-10:15",MATH 297,Dr. Thomas Green,"TT, 10:45-12:00",SOC 234,Dr. Bill Stevens,"F, 9:00-9:50"
Ethan Wilson,BIO 200,Dr. Emily Carter,"TT, 3:30-4:45",MATH 123,Dr. Thomas Green,"TT, 1:45-3:00",SOC 174,Dr. Emily Carter,"MW, 12:10-1:25",ENG 171,Dr. Ann Roberts,"TT, 1:45-3:00",ECON 259,Dr. Emily Carter,"F, 3:10-4:00"
